,상품명,가격,상품평 수
297,"맑은물에 참 좋은 국산콩 100% 순두부, 400g, 2개",2900,3788
298,"친환경 인증 흙당근, 1kg, 1봉",3600,335
299,"곰곰 아삭한 숙주나물, 500g, 1봉",2360,1316
300,"국내산 햇양파, 3kg, 1봉",4900,12945
301,"호주산 소고기 모듬 국거리용 (냉장), 300g, 1개",8280,6232
302,"굽네 닭가슴살만두 180g x 3p + 김치만두 180g x 3p 세트 (냉동), 1세트",11700,270
303,"곰곰 크랜베리 단호박 샐러드, 165g, 2개",7660,75
304,"삼양 제주우유, 1000ml, 2개",5660,3663
305,"생가득 말랑말랑 밀떡볶이 누들떡볶이 2인분, 423.5g, 1개",3280,1117
306,"프레시밀 감자수제비 재료, 800g, 1팩",8480,1046
307,"곰곰 콤비네이션 피자, 415g, 1개",4690,604
308,"파스퇴르 요구하이 에이요 요구르트, 145ml, 8개입",3920,4728
309,"고메 핫도그 크리스피 (냉동), 480g, 1개",6130,6875
310,"축협 특란 60구, 3600g, 1개",10760,9598
311,"친환경인증 시금치, 200g, 1봉",1390,4141
312,"매일우유 오리지널 멸균, 200ml, 24개",11380,17242
313,"오리온 세 가지 맛 더 탱글 마이구미 츄잉젤리, 9.8g, 70개입",9200,1130
314,"한끼연어 스테이크용, 200g, 1개",10390,245
315,"곰곰 한돈 등갈비 찜/구이용 500g (냉장), 1개",12280,50
316,"곰곰 얼음 3kg, 1개",3780,186
317,"샐러드미인 콘샐러드, 1kg, 1개",6800,2075
318,"오뚜기 김치라면 멀티 120g, 4개",1710,1206
319,"비비고 썰은배추김치, 1.8kg, 1개",13890,3884
320,"곰곰 닭가슴살 샐러드, 165g, 2개",8800,61
321,"칠성사이다, 210ml, 30개입",12300,43915
322,"하림 두마리 통닭 (냉장), 2kg, 1개",9800,2508
323,"고당도 수박, 9kg 미만, 1통",17900,90
324,"해태제과 오예스 30p, 900g, 1개",7040,6825
325,"반찬단지 백명란젓, 500g, 1개",12010,1371
326,"비비고 총각김치, 1.5kg, 1개",11980,3690
327,"다향오리 훈제오리 실속트윈팩, 400g, 2개입",9200,724
328,"크리스탈팜스 미국산 프라임부채살 구이용 (냉장), 400g, 1개",14100,613
329,"친환경인증 채소믹스, 800g, 1팩",8020,2685
330,"허닭 닭가슴살 스페셜 패키지 15종 세트 (냉동), 1세트",33700,8479
331,"농협 GAP 하우스 감귤, 2.5kg, 1개",22900,5369
332,"국내산 아삭이고추, 200g, 1봉",1480,1298
333,"리치 오트밀 미니바이트 과자, 1kg, 1개",7630,1045
334,"상하목장 유기농인증 우유, 750ml, 2개",7800,2299
335,"허닭 프레시업 슬라이스 닭가슴살 오리지널 100g x 3개 + 칠리맛 100g x 3개 + 케이준 100g x 3개 + 훈제 100g x 3개 (냉동), 1세트",24800,958
336,"하림 치킨너겟 ⅱ (냉동), 850g, 1개",8250,6443
337,"탐사 농장(愛)애 청송 사과 주스, 1000ml, 1개",2880,475
338,"곰곰 김말이, 400g, 2개",7400,2205
339,"곰곰 훈제 닭가슴살 슬라이스 (냉동), 100g, 6개입",9990,82
340,"곰곰 당도선별 성주참외, 1.5kg, 1팩",9710,2194
341,"다향오리 1등급 훈제오리 슬라이스, 500g, 1개",6900,1889
342,"비타할로 프로바이오 온가족 생 유산균, 2g, 150포",15800,5047
343,"느린부엌 식혜, 1L, 2개",7800,8025
344,"틸리셔스 홍콩 밀크티 다크, 500ml, 1개",6500,786
345,"남양유업 이오 요구르트, 80ml, 5개입",1880,2884
346,"모아미트 차돌양지 샤브용 (냉동), 800g, 1개",14900,2139
347,"착한떡 꿀백설기 45g x 10개입 + 우유백설기 45g x 10개입 (냉동), 1세트",9270,1888
348,"맨치트 발효 미니버터 크로와상 (냉동), 225g, 2개",8500,692
349,"해태제과 오예스 30p, 900g, 1개",7040,122
350,"곰곰 깻잎무침 (냉장), 1kg, 1개",5090,354
351,"CJ제일제당 마카다미아&캐슈넛드레싱, 560g, 2개",11000,8
352,"스키니퓨리티 슈링티 붓기차, 1.5g, 30개",14150,266
353,"파미유 대만 샌드위치 햄치즈 (냉동), 75g, 12개입",24000,1630
354,"바지락살 (냉장), 200g, 1팩",11000,143
355,"한끼 양배추, 700g, 1통",1980,86
356,"누리웰 깐메추리알, 1kg, 1개",4570,1311
357,"곰곰 낙지볶음밥 (냉동), 300g, 6개",12330,2988
358,"외갓집 진심육개장 (냉동), 600g, 4개",12900,6188
359,"친환경 인증 참타리버섯, 300g, 1개",1580,489
360,"댄케이크 버터쿠키 싱글서브 18p, 324g, 1개",9990,676
361,"다진마늘, 500g, 1봉",5950,1058
362,"논우렁살 (냉장), 300g, 1팩",4980,117
363,"자몽, 3kg, 1개",12280,2299
364,"레몬 대과, 1.2kg내외(9~11입), 1봉",7750,2998
365,"청정원 리치부어스트, 1kg, 1개",14130,637
366,"20년산 밀양 햇 수미 감자, 2kg, 1봉",9900,563
367,"팔도 비빔장 시그니처, 380g, 1개",3600,1910
368,"나뚜루 녹차 아이스크림 (냉동), 474ml, 1개",5250,279
369,"키즈웰 젤리 스트로우, 19.3g, 60개입",7740,11703
370,"마니커에프앤지 케이준치킨텐더 (냉동), 1kg, 1개",12060,7803
371,"곰곰 국내산 썰은 배추 김치, 1.8kg, 1개",10890,1991
372,"돈마루 한돈 뒷다리 다짐육 (냉장), 400g, 1개",6480,1430
373,"곰곰 고기곰탕 (냉동), 500g, 4개",12410,1168
374,"아이시스 생수 8.0 ECO, 1.5L, 12개",6600,844
375,"외갓집 부산 돼지국밥 (냉동), 500g, 4개",12900,1332
376,"고메 바삭튀겨낸 모짜렐라 돈카츠 (냉동), 450g, 1개",6980,1217
377,"하림 커플치킨 통닭 백숙용 (냉장), 550g, 2개",8990,741
378,"프레시지 소고기 버섯 잡채, 275g, 1개",7900,3930
379,"돌 하이 머스캣 주스, 32개입",14800,676
380,"미국산 초이스 시즈닝 살치살 스테이크 (냉장), 400g, 1개",19990,1798
381,"종가집 맛김치, 1kg, 1개",8420,4316
382,"블루다이아몬드 아몬드 브리즈 언스위트, 190ml, 24개",11800,20442
383,"요플레 오프룻 블루베리, 180ml, 10개",11120,122
384,"모아미트 돈항정살 (냉동), 1kg, 1개",14400,2142
385,"견우푸드 바베큐 폭립 오리지널, 1kg, 1개",18900,579
386,"본죽 보양삼계죽, 270g, 6개입",19000,193
387,"곰곰 리코타치즈 샐러드, 170g, 2개",8100,68
388,"농심 신라면, 5개",3380,28291
389,"곰곰 호주산 소고기 앞다리살 국거리용 300g (냉장), 1개",7780,187
